word	freq_piyut	freq_memar	memar_he_candidate	conf	source	context
סוביב	11	2		0	פיוט #607 — תטיב עמלך: ואתה בתרדימה * ביומך ולילך	עד מתי עד מתי * לא ‏ פעלך: ‏ קרוב ממך * סוביב בכל
פרדיס	6	7	ודיבר	0.575	פיוט #904 — פניו כל גבור צד * ולא עורן ימטי	פרדיס * וניסוסי הקדשים מנה שרשר: ‏ מובא כל שתה * מועדי
סביל	9	3		0	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד	ארבעת רבעה עלמה • מיתבן בידך : חילך רבה סביל • כליף דלא קרב לין :
אלהיט	12	0		0	פיוט #10 — ב מימריו ן	אלהיט לך נברך * אלהיט לך נהלל • אלהינו לך ננדל • אלהיט
לע	12	0		0	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך	ץ לע ו קרישי ׳ י י י ;
זזעיו	12	0		0	פיוט #13 — צלות מרקה	זעיקתך בריאן * ובריזתך עלמין : זזעיו רחמיך * זהו לעבדיך :
תשיב	12	0		0	פיוט #56 — ז עודנה על שבתה חמישה דיזמן	בפרקני * ומן רחמיך לא תשיב בעותי ריקני • ראתה *רחום וחנון ועקובתך
זברון	12	0		0	פיוט #85 — צלות שבת צמות הפסח	לבושי אבני השהם : ובו זברון ואזכרה • לברית אבינו אברהם ; דו למועדים
בנרלו	12	0		0	פיוט #109 — גלות לילה חדש הראישון רמשה	התשבחן לממן בנרלו :
נוים	12	0		0	פיוט #130 — אלעזר בן אהרן הכהן ־ דלבו באורים והתמים מנצנץ	הכהן יעמד * ולשבעה נוים לתם ולחץ :
משתרי	11	0		0	פיוט #8 — אתי בשלם	חתם לא משתרי לעלם. אהן דהוﬞה בארע מצרים. הדם מתחזי על שקוף. ואלה פסח על בתיון׃
מרילך	11	0		0	פיוט #13 — צלות מרקה	שמך רחלה • רת יקיר ונוראי : שלחיך ממלין • ובירק ארשו מרילך :
יק	9	2	יקרבנו	0.591	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן	יקרני סניה * דספספו רוח יק : ימתנו בטל רחמיך * דאלופין נטרק :
עי	8	3	הייתה	0.273	פיוט #22 — תורנים תתמר בשבתות	יה ־ יאה יום מברך ומקרש יום דבה שבת אלה שבי עי דחסל כל בריתה
שביעיה	5	6	השביעי	0.69	פיוט #23 — עורן כ ; על ואלה שמות	בטולין לאשתה יומין ועבר עלמה וכל בריתה ושבת ביומה שביעיה ועבדה
יך	11	0		0	פיוט #56 — ז עודנה על שבתה חמישה דיזמן	גל נ יך מן ישום ואמנותך מיטבה :
זד	11	0		0	פיוט #58 — מרי אטרנון בלילה ואיממה	לרעוז כי * .זד יר ¥ , וצכד ¥ . ייש־כהדכי ¥ - ודרי ¥ . הודם
השריפה	11	0		0	פיוט #65 — ופסחתי עליכם : ולא יהיה בכם נגף	השריפה : אה מן לך היכולה : ויכלותך תקיפה : אה עשה מן את בעי :
משתמר	11	0		0	פיוט #73 — צלות שבת צמות הפסח	חשבן קשט לית בו חסר * מן ימי הבריה משתמר : מן המלאכים לאבי
