phrase	count	section
למשלח ית עמי	5	מימר מרקה I:47
לית בי	5	מימר מרקה I:12a
הגיבה נביה	5	מימר מרקה I:12a
הגיבה נביה רבה	5	מימר מרקה I:12a
יה למשה	5	מימר מרקה I:56
עליו ולא	5	מימר מרקה I:56
לה ואמר	5	מימר מרקה I:75
וכל קהלה	5	מימר מרקה I:75
אה תדע	5	מימר מרקה I:75
תדע רוחכ	5	מימר מרקה I:75
אה תדע רוחכ	5	מימר מרקה I:75
פרעה וכל	5	מימר מרקה I:40
ית אדכ	5	מימר מרקה I:59
תלתה יומינ	5	מימר מרקה I:59
בכל ארע מצר	5	מימר מרקה I:53
בקל רמ	5	מימר מרקה I:68
אטר מנ	5	מימר מרקה I:9
ברה דעדנ	5	מימר מרקה I:9
אטר מנ אשתה	5	מימר מרקה I:9
ולא נסטי	5	מימר מרקה I:26
כי לבה	5	מימר מרקה I:26
כנ אמר	5	מימר מרקה I:26
אמרת לה	5	מימר מרקה I:26
יה לה	5	מימר מרקה I:19
ואמר יה לה	5	מימר מרקה I:19
מלי דחלה	5	מימר מרקה I:22
אמר לי	5	מימר מרקה I:21
זכאי עלמה	5	מימר מרקה I:4
יהב לכ	5	מימר מרקה I:4
יתה מנ	5	מימר מרקה I:17
לגו מדברה	5	מימר מרקה I:55
ואנתח משה	5	מימר מרקה I:55
ית אדה	5	מימר מרקה I:55
ארצ מצרימ	5	מימר מרקה I:55
ואנתח משה ית	5	מימר מרקה I:55
משה ית אדה	5	מימר מרקה I:55
כל ארע מצרימ	5	מימר מרקה I:55
על פרעה ועל	5	מימר מרקה I:55
ואתפנה פרעה	5	מימר מרקה I:50
בית אל	5	מימר מרקה I:25
הכ דהוה	5	מימר מרקה I:78
ממה דהוו	5	מימר מרקה I:33
ואמר יהוה	5	מימר מרקה I:33
לזכאי עלמה	5	מימר מרקה I:33
לה לעלמ	5	מימר מרקה I:33
סגי ממה דהוו	5	מימר מרקה I:33
כל בית	5	מימר מרקה I:67
על כלה	5	מימר מרקה I:77
מנ עלמה	5	מימר מרקה I:7
תהו ובהו	5	מימר מרקה I:7
רב עד	5	מימר מרקה I:7
רב עד מותר	5	מימר מרקה I:7
מנ ממללה	5	מימר מרקה I:38
אמי עלמה	5	מימר מרקה I:11a
יתר על	5	מימר מרקה I:11a
רבה משה אמר	5	מימר מרקה I:11a
אלה למשה	5	מימר מרקה I:11
הנ לית	5	מימר מרקה I:52
לכל קהלה	5	מימר מרקה I:29
לית כותה	5	מימר מרקה I:15a
כל אנש	5	מימר מרקה I:15a
מחי את	5	מימר מרקה I:46
ואמ מחי את	5	מימר מרקה I:46
אלא על	5	מימר מרקה I:2
אתחזי לה	5	מימר מרקה I:2
עד יהי	5	מימר מרקה II:1b
לעלמ נביה רבה	5	מימר מרקה II:1b
רבותה לאלהנו	5	מימר מרקה II:47
בר ארדאי	5	מימר מרקה II:47
ארדאי ומעזי	5	מימר מרקה II:47
נרבי למרנ	5	מימר מרקה II:47
בר ארדאי ומעזי	5	מימר מרקה II:47
את הימ	5	מימר מרקה II:6
כל העמ	5	מימר מרקה II:8
כל המצרימ	5	מימר מרקה II:8
חיימ מוחימ	5	מימר מרקה II:8
עד מאד	5	מימר מרקה II:8
יהי לנ	5	מימר מרקה II:39
בטור סיני	5	מימר מרקה II:48
וכל אחד	5	מימר מרקה II:48
יהוה עליו	5	מימר מרקה II:40
הדה שירתה	5	מימר מרקה II:40
עמ זה	5	מימר מרקה II:40
מנ האנ	5	מימר מרקה II:45
כל בני	5	מימר מרקה II:19
מי כמוכ	5	מימר מרקה II:38
עשה משפט	5	מימר מרקה II:38
בכל זבנ ועדנ	5	מימר מרקה II:49
בה ובמשה נביה	5	מימר מרקה II:51
בהדה שירתה	5	מימר מרקה II:18
כד אתא	5	מימר מרקה II:46
איקרה רבה	5	מימר מרקה III:13
בה אלה	5	מימר מרקה III:13
לא יפק	5	מימר מרקה III:13
חכמה כהלה	5	מימר מרקה III:13
ליתו מתחלפ	5	מימר מרקה III:13
שכב עמ	5	מימר מרקה III:70
פני מנ	5	מימר מרקה III:47
מנ אחס	5	מימר מרקה III:6
קדש ליהוה	5	מימר מרקה III:39
על מדבחה	5	מימר מרקה III:39
לית לכ	5	מימר מרקה III:56
מנ אדמ	5	מימר מרקה III:56
על עובד	5	מימר מרקה III:56
עסרה גנואנ	5	מימר מרקה III:59
חדה מנונ	5	מימר מרקה III:68
אחד מנ	5	מימר מרקה III:19
לאוי לכ	5	מימר מרקה III:43
דגלה לנ	5	מימר מרקה III:69
וידבר משה	5	מימר מרקה III:4
מה אתמר	5	מימר מרקה III:4
לאוי עליכ	5	מימר מרקה III:50
יתרה על	5	מימר מרקה III:73
בני טבימ	5	מימר מרקה III:73
דו אמר	5	מימר מרקה III:15
וכנ אמר אלה	5	מימר מרקה III:15
על ישראל	5	מימר מרקה III:1b
מנ אכה	5	מימר מרקה III:1b
משה כד	5	מימר מרקה III:41
כל קהל	5	מימר מרקה III:8
כל אילנ	5	מימר מרקה III:14
דו אחד	5	מימר מרקה III:1a
ולא קמ	5	מימר מרקה III:67a
האנ נביא	5	מימר מרקה III:7
לה אלה	5	מימר מרקה III:7
ליד ארעה	5	מימר מרקה III:7
נסב אפימ	5	מימר מרקה III:24
הכ הוא	5	מימר מרקה III:58
ומנה לא	5	מימר מרקה III:60
מה הו	5	מימר מרקה III:28
לה נמי	5	מימר מרקה III:67b
מנ שביל	5	מימר מרקה III:67b
ירומ מדעה דמשה	5	מימר מרקה IV:6
למשה נביא לא	5	מימר מרקה IV:6
נביא לא קמ	5	מימר מרקה IV:6
ויחוי לכ	5	מימר מרקה IV:56
