phrase	count	section
דמנ פמה	3	מימר מרקה IV:14
בראשית ברא	3	מימר מרקה IV:14
יהוה אקרא	3	מימר מרקה IV:14
ומשה אמר	3	מימר מרקה IV:14
יומיה וכל	3	מימר מרקה IV:14
וכל מצוהתה	3	מימר מרקה IV:14
כי בשמ יהוה	3	מימר מרקה IV:14
בשמ יהוה אקרא	3	מימר מרקה IV:14
עובדימ בישימ	3	מימר מרקה IV:93
אבהנ עמ	3	מימר מרקה IV:93
ותרחמ ית	3	מימר מרקה IV:93
ית יה	3	מימר מרקה IV:93
כל נפש	3	מימר מרקה IV:93
כמה דאמר ותרחמ	3	מימר מרקה IV:93
דאמר ותרחמ ית	3	מימר מרקה IV:93
ותרחמ ית יה	3	מימר מרקה IV:93
רבה אה	3	מימר מרקה IV:77
אה אימנו	3	מימר מרקה IV:77
אימנו שלמה	3	מימר מרקה IV:77
עגל מסכה	3	מימר מרקה IV:32
בר טב	3	מימר מרקה IV:58
אב טב	3	מימר מרקה IV:58
ית דכרנה	3	מימר מרקה IV:64
ואבטל ית	3	מימר מרקה IV:64
כד השלמת	3	מימר מרקה IV:64
וילה חיבה	3	מימר מרקה IV:42
וסגד לה	3	מימר מרקה IV:42
מציל מנ	3	מימר מרקה IV:42
מידי מציל מנ	3	מימר מרקה IV:42
וכד אמר	3	מימר מרקה IV:82
חדדה אכה	3	מימר מרקה IV:49
וידבר אלהימ	3	מימר מרקה IV:49
אמר וידבר משה	3	מימר מרקה IV:49
משה לא קמ	3	מימר מרקה IV:62
כל איקרה	3	מימר מרקה IV:89
אברהמ ית	3	מימר מרקה IV:46
לא יהי כנ	3	מימר מרקה IV:46
כנ אננ בני	3	מימר מרקה IV:46
אתיהב לה	3	מימר מרקה IV:66
לא יבטל	3	מימר מרקה IV:44
נביה דלא	3	מימר מרקה IV:44
נביה דלא קעמ	3	מימר מרקה IV:44
ואמר כי	3	מימר מרקה IV:13
דלא קמ כותה	3	מימר מרקה IV:13
בר שלומית	3	מימר מרקה IV:47
אמת קשטה	3	מימר מרקה IV:47
ועתה ישראל	3	מימר מרקה IV:47
עד אמת קשטה	3	מימר מרקה IV:47
על פני	3	מימר מרקה IV:76
בתר נביה	3	מימר מרקה IV:40
בתר נביה רבה	3	מימר מרקה IV:40
אתגזי בקשט	3	מימר מרקה IV:26
בר ברה	3	מימר מרקה IV:26
נבטל מנ	3	מימר מרקה IV:26
משה מוכח	3	מימר מרקה IV:19
אמר כי כל	3	מימר מרקה IV:19
רבה משה מוכח	3	מימר מרקה IV:19
כפ רגלה	3	מימר מרקה IV:91
והמ תכו	3	מימר מרקה IV:92
תכו לרגליכ	3	מימר מרקה IV:92
והמ תכו לרגליכ	3	מימר מרקה IV:92
מקבל כל	3	מימר מרקה IV:37
עלמה אני	3	מימר מרקה IV:55
וכל קהל	3	מימר מרקה IV:55
וכל קהל ישראל	3	מימר מרקה IV:55
כל ארעה	3	מימר מרקה IV:88
בית ביש	3	מימר מרקה IV:33
על קנומה	3	מימר מרקה IV:33
ואנונ כהלונ	3	מימר מרקה IV:33
אל מעונה	3	מימר מרקה IV:94
מעונה עלאה	3	מימר מרקה IV:94
והשבעימ הזקנימ	3	מימר מרקה IV:94
בתר יומ	3	מימר מרקה IV:23
בתר יומ נקמ	3	מימר מרקה IV:23
אדה דאלה	3	מימר מרקה IV:83
משה ולא	3	מימר מרקה IV:83
מדע יהי	3	מימר מרקה IV:87
מה ביש	3	מימר מרקה IV:87
ביש עובד	3	מימר מרקה IV:87
וילה אנש דיהי	3	מימר מרקה IV:87
באידנ מדע יהי	3	מימר מרקה IV:87
מדע יהי כנ	3	מימר מרקה IV:87
מה ביש עובד	3	מימר מרקה IV:87
דמרכ קעניכ	3	מימר מרקה IV:51
כות משה	3	מימר מרקה IV:51
אמר הוא עשכ	3	מימר מרקה IV:52
רוח חכמה	3	מימר מרקה IV:101
ביד נביא	3	מימר מרקה IV:101
כיונ לא	3	מימר מרקה IV:96
שבט לוי	3	מימר מרקה IV:90
אלהי נכר לא	3	מימר מרקה IV:54
לכל עלמה	3	מימר מרקה IV:81
תרימ ועסרימ	3	מימר מרקה IV:2
קלה ואמר	3	מימר מרקה V:20
כתר עמנ	3	מימר מרקה V:20
עמנ שעה	3	מימר מרקה V:20
ומלאכי רומה	3	מימר מרקה V:20
כתר עמנ שעה	3	מימר מרקה V:20
מימרה לא	3	מימר מרקה V:35
מותה ולא	3	מימר מרקה V:35
מלי ארהותה	3	מימר מרקה V:35
טלה ולא	3	מימר מרקה V:30b
חזה ית	3	מימר מרקה V:30b
נביה קדישה	3	מימר מרקה V:30b
כות טלה ולא	3	מימר מרקה V:30b
דנ נביה קדישה	3	מימר מרקה V:30b
עמ יהושע	3	מימר מרקה V:6
בבכיה רבה	3	מימר מרקה V:6
בכי אמר	3	מימר מרקה V:6
יסק ימות	3	מימר מרקה V:6
כל אהנ דברה	3	מימר מרקה V:6
ויהושע בנ	3	מימר מרקה V:8
ויהושע בנ נונ	3	מימר מרקה V:8
נאמנ על	3	מימר מרקה V:23
יתרבי לעלמ משה	3	מימר מרקה V:23
יאי מעמי	3	מימר מרקה V:31
וימת שמ	3	מימר מרקה V:31
שמ משה	3	מימר מרקה V:31
וימת שמ משה	3	מימר מרקה V:31
בדילה הנ	3	מימר מרקה V:5
בדילה הנ לא	3	מימר מרקה V:5
מרירה שעתה דבה	3	מימר מרקה V:5
על מימר	3	מימר מרקה V:32
רבה על	3	מימר מרקה V:9
אוקרת יתה	3	מימר מרקה V:26
אה לאוי	3	מימר מרקה V:11
מצלי בדיל	3	מימר מרקה V:11
לגו עננה	3	מימר מרקה V:22
חסילה הי	3	מימר מרקה V:18
עד לבב	3	מימר מרקה V:4
לבב שומיה	3	מימר מרקה V:4
והוית לה	3	מימר מרקה V:4
לה כות	3	מימר מרקה V:4
שאלה לא	3	מימר מרקה V:4
עד לבב שומיה	3	מימר מרקה V:4
לה כות טלה	3	מימר מרקה V:4
אנה שאלה לא	3	מימר מרקה V:4
אדכירימ לטב	3	מימר מרקה V:37
אדכירימ לטב עד	3	מימר מרקה V:37
ממלל אלה	3	מימר מרקה V:29
מכל בני	3	מימר מרקה V:29
מכל בני אדמ	3	מימר מרקה V:29
לא יקרבנה	3	מימר מרקה V:3
אלאפ אמרת	3	מימר מרקה V:3
וכרזת בדילה	3	מימר מרקה V:3
אמרת וכרזת בדילה	3	מימר מרקה V:3
בטור נבא	3	מימר מרקה V:34
ומלל יהוה	3	מימר מרקה V:2
ומלל יהוה אל	3	מימר מרקה V:2
קצי ארהותה	3	מימר מרקה VI:35
למה לא הוה	3	מימר מרקה VI:35
אהנ גזוי	3	מימר מרקה VI:13
ממללה ממלל	3	מימר מרקה VI:70
חכמה ובה	3	מימר מרקה VI:6
מנ תפוכ	3	מימר מרקה VI:6
כד חכמת	3	מימר מרקה VI:39
לי בריש	3	מימר מרקה VI:53
לי בריש קציה	3	מימר מרקה VI:53
תמנ הגיב	3	מימר מרקה VI:68
מליה הגבו	3	מימר מרקה VI:68
הגבו מרבי	3	מימר מרקה VI:68
אלינ מליה הגבו	3	מימר מרקה VI:68
חברי קבלה	3	מימר מרקה VI:9
אורה רבה	3	מימר מרקה VI:9
אננ אנונ חברי	3	מימר מרקה VI:9
אנונ חברי קבלה	3	מימר מרקה VI:9
וקעמת עמ	3	מימר מרקה VI:26
לא הכתבת	3	מימר מרקה VI:26
למה לא הכתבת	3	מימר מרקה VI:26
ארשתה אלה	3	מימר מרקה VI:18
דחלתה מנ	3	מימר מרקה VI:37
מנכ לעלמ	3	מימר מרקה VI:55
מכנ אתי	3	מימר מרקה VI:50
משה ממלל	3	מימר מרקה VI:25
ממלל ברבו	3	מימר מרקה VI:25
רבה משה ממלל	3	מימר מרקה VI:25
לה אתי בשלמ	3	מימר מרקה VI:15
אמר לה שלמ	3	מימר מרקה VI:15
בשרוי קציה	3	מימר מרקה VI:63
אה גנה	3	מימר מרקה VI:20
גנה טבה	3	מימר מרקה VI:20
טבה בה	3	מימר מרקה VI:20
אה גנה טבה	3	מימר מרקה VI:20
גנה טבה בה	3	מימר מרקה VI:20
טבה בה כל	3	מימר מרקה VI:20
בה כל אילנ	3	מימר מרקה VI:20
כל אילנ טב	3	מימר מרקה VI:20
שבקו מחכומה	3	מימר מרקה VI:7
כד שבקו מחכומה	3	מימר מרקה VI:7
עמכ ואתה	3	מימר מרקה VI:48
אה בוראימ	3	מימר מרקה VI:5
בחיל ידוע	3	מימר מרקה VI:5
ידוע ידע	3	מימר מרקה VI:5
ידע רבות	3	מימר מרקה VI:5
לית בחיל ידוע	3	מימר מרקה VI:5
בחיל ידוע ידע	3	מימר מרקה VI:5
